#        x              poli            horner        diferencia
  -1.816000e-01    1.029023e+04    1.029023e+04    0.000000e+00
  -1.808000e-01    1.028438e+04    1.028438e+04    9.765625e-04
  -1.800000e-01    1.027854e+04    1.027854e+04    9.765625e-04
  -1.792000e-01    1.027271e+04    1.027271e+04    0.000000e+00
  -1.784000e-01    1.026690e+04    1.026690e+04    1.953125e-03
  -1.776000e-01    1.026110e+04    1.026110e+04    9.765625e-04
  -1.768000e-01    1.025531e+04    1.025531e+04    0.000000e+00
  -1.760000e-01    1.024953e+04    1.024953e+04    9.765625e-04
  -1.752000e-01    1.024376e+04    1.024376e+04    0.000000e+00
  -1.744000e-01    1.023801e+04    1.023801e+04    9.765625e-04
  -1.736000e-01    1.023227e+04    1.023227e+04    0.000000e+00
  -1.728000e-01    1.022654e+04    1.022654e+04    0.000000e+00
  -1.720000e-01    1.022083e+04    1.022083e+04    0.000000e+00
  -1.712000e-01    1.021512e+04    1.021512e+04    0.000000e+00
  -1.704000e-01    1.020943e+04    1.020943e+04    9.765625e-04
  -1.696000e-01    1.020375e+04    1.020375e+04    0.000000e+00
  -1.688000e-01    1.019808e+04    1.019808e+04    9.765625e-04
  -1.680000e-01    1.019243e+04    1.019243e+04    9.765625e-04
  -1.672000e-01    1.018679e+04    1.018679e+04    0.000000e+00
  -1.664000e-01    1.018115e+04    1.018115e+04    0.000000e+00
  -1.656000e-01    1.017554e+04    1.017554e+04    0.000000e+00
  -1.648000e-01    1.016993e+04    1.016993e+04    0.000000e+00
  -1.640000e-01    1.016433e+04    1.016433e+04    9.765625e-04
  -1.632000e-01    1.015875e+04    1.015875e+04    1.953125e-03
  -1.624000e-01    1.015318e+04    1.015318e+04    0.000000e+00
  -1.616000e-01    1.014762e+04    1.014762e+04    0.000000e+00
  -1.608000e-01    1.014208e+04    1.014208e+04    0.000000e+00
  -1.600000e-01    1.013654e+04    1.013654e+04    9.765625e-04
  -1.592000e-01    1.013102e+04    1.013102e+04    9.765625e-04
  -1.584000e-01    1.012551e+04    1.012551e+04    9.765625e-04
  -1.576000e-01    1.012002e+04    1.012002e+04    0.000000e+00
  -1.568000e-01    1.011453e+04    1.011453e+04    0.000000e+00
  -1.560000e-01    1.010906e+04    1.010906e+04    0.000000e+00
  -1.552000e-01    1.010360e+04    1.010360e+04    9.765625e-04
  -1.544000e-01    1.009815e+04    1.009815e+04    9.765625e-04
  -1.536000e-01    1.009271e+04    1.009271e+04    1.953125e-03
  -1.528000e-01    1.008729e+04    1.008728e+04    9.765625e-04
  -1.520000e-01    1.008187e+04    1.008187e+04    9.765625e-04
  -1.512000e-01    1.007647e+04    1.007647e+04    0.000000e+00
  -1.504000e-01    1.007108e+04    1.007108e+04    9.765625e-04
  -1.496000e-01    1.006571e+04    1.006570e+04    9.765625e-04
  -1.488000e-01    1.006034e+04    1.006034e+04    0.000000e+00
  -1.480000e-01    1.005499e+04    1.005499e+04    9.765625e-04
  -1.472000e-01    1.004964e+04    1.004964e+04    9.765625e-04
  -1.464000e-01    1.004431e+04    1.004432e+04    9.765625e-04
  -1.456000e-01    1.003900e+04    1.003900e+04    0.000000e+00
  -1.448000e-01    1.003369e+04    1.003369e+04    9.765625e-04
  -1.440000e-01    1.002840e+04    1.002840e+04    0.000000e+00
  -1.432000e-01    1.002312e+04    1.002312e+04    0.000000e+00
  -1.424000e-01    1.001785e+04    1.001785e+04    9.765625e-04
  -1.416000e-01    1.001259e+04    1.001259e+04    1.953125e-03
  -1.408000e-01    1.000735e+04    1.000735e+04    0.000000e+00
  -1.400000e-01    1.000211e+04    1.000211e+04    0.000000e+00
  -1.392000e-01    9.996890e+03    9.996891e+03    9.765625e-04
  -1.384000e-01    9.991680e+03    9.991680e+03    0.000000e+00
  -1.376000e-01    9.986481e+03    9.986482e+03    9.765625e-04
  -1.368000e-01    9.981295e+03    9.981296e+03    9.765625e-04
  -1.360000e-01    9.976122e+03    9.976122e+03    0.000000e+00
  -1.352000e-01    9.970958e+03    9.970959e+03    9.765625e-04
  -1.344000e-01    9.965809e+03    9.965809e+03    0.000000e+00
  -1.336000e-01    9.960670e+03    9.960670e+03    0.000000e+00
  -1.328000e-01    9.955542e+03    9.955542e+03    0.000000e+00
  -1.320000e-01    9.950427e+03    9.950428e+03    9.765625e-04
  -1.312000e-01    9.945323e+03    9.945324e+03    9.765625e-04
  -1.304000e-01    9.940233e+03    9.940232e+03    9.765625e-04
  -1.296000e-01    9.935152e+03    9.935152e+03    0.000000e+00
  -1.288000e-01    9.930084e+03    9.930084e+03    0.000000e+00
  -1.280000e-01    9.925027e+03    9.925028e+03    9.765625e-04
  -1.272000e-01    9.919983e+03    9.919983e+03    0.000000e+00
  -1.264000e-01    9.914950e+03    9.914950e+03    0.000000e+00
  -1.256000e-01    9.909930e+03    9.909930e+03    0.000000e+00
  -1.248000e-01    9.904920e+03    9.904920e+03    0.000000e+00
  -1.240000e-01    9.899922e+03    9.899923e+03    9.765625e-04
  -1.232000e-01    9.894937e+03    9.894937e+03    0.000000e+00
  -1.224000e-01    9.889963e+03    9.889963e+03    0.000000e+00
  -1.216000e-01    9.885001e+03    9.885000e+03    9.765625e-04
  -1.208000e-01    9.880050e+03    9.880049e+03    9.765625e-04
  -1.200000e-01    9.875109e+03    9.875110e+03    9.765625e-04
  -1.192000e-01    9.870182e+03    9.870183e+03    9.765625e-04
  -1.184000e-01    9.865266e+03    9.865267e+03    9.765625e-04
  -1.176000e-01    9.860362e+03    9.860362e+03    0.000000e+00
  -1.168000e-01    9.855470e+03    9.855470e+03    0.000000e+00
  -1.160000e-01    9.850589e+03    9.850589e+03    0.000000e+00
  -1.152000e-01    9.845720e+03    9.845720e+03    0.000000e+00
  -1.144000e-01    9.840862e+03    9.840862e+03    0.000000e+00
  -1.136000e-01    9.836016e+03    9.836017e+03    9.765625e-04
  -1.128000e-01    9.831183e+03    9.831182e+03    9.765625e-04
  -1.120000e-01    9.826359e+03    9.826359e+03    0.000000e+00
  -1.112000e-01    9.821548e+03    9.821548e+03    0.000000e+00
  -1.104000e-01    9.816748e+03    9.816748e+03    0.000000e+00
  -1.096000e-01    9.811960e+03    9.811960e+03    0.000000e+00
  -1.088000e-01    9.807183e+03    9.807184e+03    9.765625e-04
  -1.080000e-01    9.802419e+03    9.802418e+03    9.765625e-04
  -1.072000e-01    9.797665e+03    9.797665e+03    0.000000e+00
  -1.064000e-01    9.792922e+03    9.792923e+03    9.765625e-04
  -1.056000e-01    9.788191e+03    9.788192e+03    9.765625e-04
  -1.048000e-01    9.783473e+03    9.783474e+03    9.765625e-04
  -1.040000e-01    9.778766e+03    9.778766e+03    0.000000e+00
  -1.032000e-01    9.774070e+03    9.774070e+03    0.000000e+00
  -1.024000e-01    9.769385e+03    9.769386e+03    9.765625e-04
  -1.016000e-01    9.764713e+03    9.764712e+03    9.765625e-04
  -1.008000e-01    9.760051e+03    9.760051e+03    0.000000e+00
  -9.999999e-02    9.755399e+03    9.755400e+03    9.765625e-04
  -9.919998e-02    9.750762e+03    9.750762e+03    0.000000e+00
  -9.840000e-02    9.746135e+03    9.746135e+03    0.000000e+00
  -9.759998e-02    9.741520e+03    9.741519e+03    9.765625e-04
  -9.680000e-02    9.736914e+03    9.736914e+03    0.000000e+00
  -9.599999e-02    9.732320e+03    9.732321e+03    9.765625e-04
  -9.520000e-02    9.727739e+03    9.727739e+03    0.000000e+00
  -9.439999e-02    9.723170e+03    9.723169e+03    9.765625e-04
  -9.360000e-02    9.718610e+03    9.718610e+03    0.000000e+00
  -9.279999e-02    9.714063e+03    9.714062e+03    9.765625e-04
  -9.199998e-02    9.709527e+03    9.709526e+03    9.765625e-04
  -9.119999e-02    9.705002e+03    9.705002e+03    0.000000e+00
  -9.039998e-02    9.700488e+03    9.700488e+03    0.000000e+00
  -8.960000e-02    9.695985e+03    9.695986e+03    9.765625e-04
  -8.879998e-02    9.691495e+03    9.691495e+03    0.000000e+00
  -8.800000e-02    9.687016e+03    9.687016e+03    0.000000e+00
  -8.719999e-02    9.682547e+03    9.682547e+03    0.000000e+00
  -8.640000e-02    9.678091e+03    9.678091e+03    0.000000e+00
  -8.559999e-02    9.673645e+03    9.673645e+03    0.000000e+00
  -8.480000e-02    9.669211e+03    9.669210e+03    9.765625e-04
  -8.399999e-02    9.664787e+03    9.664787e+03    0.000000e+00
  -8.319998e-02    9.660375e+03    9.660375e+03    0.000000e+00
  -8.239999e-02    9.655974e+03    9.655975e+03    9.765625e-04
  -8.159998e-02    9.651584e+03    9.651585e+03    9.765625e-04
  -8.080000e-02    9.647207e+03    9.647207e+03    0.000000e+00
  -7.999998e-02    9.642840e+03    9.642840e+03    0.000000e+00
  -7.920000e-02    9.638483e+03    9.638483e+03    0.000000e+00
  -7.839999e-02    9.634139e+03    9.634139e+03    0.000000e+00
  -7.760000e-02    9.629806e+03    9.629806e+03    0.000000e+00
  -7.679999e-02    9.625483e+03    9.625483e+03    0.000000e+00
  -7.600001e-02    9.621173e+03    9.621172e+03    9.765625e-04
  -7.519999e-02    9.616873e+03    9.616872e+03    9.765625e-04
  -7.439998e-02    9.612584e+03    9.612583e+03    9.765625e-04
  -7.359999e-02    9.608306e+03    9.608306e+03    0.000000e+00
